Region_name Time_period Cluster_id Centroid_Lon(deg) Centroid_Lat(deg) Starting_time(year) Starting_time(month) Starting_time(day) Max_magnitude Median_inter-event_time(day) Duration(day) Number_of_events
PHILIPPINES3 2000-2004 cluster_4 126.708 8.6384 2000 4 18 5.4 4.719696 34.02716 5
PHILIPPINES5 2000-2004 cluster_1 128.851 1.4274 2002 6 16 4.8 166.3555 590.2676 5
PHILIPPINES5 2000-2004 cluster_2 128.48 3.59324 2004 6 18 5.6 0.8259277 175.9961 17
PHILIPPINES5 2000-2004 cluster_3 128.241 3.944 2000 4 3 5.7 0.1025696 47.87384 19
PHILIPPINES5 2000-2004 cluster_4 127.27 5.133 2003 4 25 5.5 29.03784 97.24988 5
PHILIPPINES5 2000-2004 cluster_5 126.789 5.5822 2003 2 18 5.4 22.80310 79.67590 5
TONGA1 2000-2004 cluster_1 187.042 -18.2632 2004 3 23 4.9 6.6650391E-02 66.02905 14
TONGA1 2000-2004 cluster_10 186.53 -15.1056 2004 7 8 6.2 0.2106934 62.46924 16
TONGA1 2000-2004 cluster_12 186.483 -15.2094 2003 12 26 4.8 7.063721 25.41113 5
TONGA1 2000-2004 cluster_2 186.234 -18.1146 2003 8 22 4.8 100.9663 389.8840 5
TONGA1 2000-2004 cluster_3 185.762 -17.5808 2003 8 3 5.1 20.26953 114.0244 5
TONGA1 2000-2004 cluster_4 187.006 -17.5206 2003 5 17 5.3 18.27600 87.58887 5
TONGA1 2000-2004 cluster_5 186.394 -16.7076 2003 1 15 5.7 14.65430 66.06250 5
TONGA1 2000-2004 cluster_6 187.105 -16.693 2004 3 20 5.7 5.715454 39.38281 5
TONGA1 2000-2004 cluster_7 187.375 -16.3693 2000 9 28 5. 19.29431 156.4921 7
TONGA1 2000-2004 cluster_8 186.561 -16.184 2002 6 6 5.1 22.31195 92.14758 5
TONGA1 2000-2004 cluster_9 186.354 -15.342 2004 4 13 5.8 2.432129 80.87036 14
TONGA3 2000-2004 cluster_1 184.44 -23.1855 2001 7 28 5.5 7.6049805E-02 75.48499 17
TONGA3 2000-2004 cluster_2 184.65 -23.27 2004 6 10 5.6 4.273438 46.72388 10
TONGA3 2000-2004 cluster_3 183.707 -22.8554 2003 5 3 4.8 16.37378 171.4045 5
TONGA3 2000-2004 cluster_4 184.762 -22.6902 2004 7 7 5.6 4.018066 68.22803 8
TONGA3 2000-2004 cluster_5 185.597 -21.5955 2002 1 27 5.9 16.84436 108.0162 8
TONGA3 2000-2004 cluster_6 185.717 -20.8225 2004 1 8 5.7 2.883057 24.65601 6
TONGA3 2000-2004 cluster_7 186.456 -19.0743 2003 10 30 5.8 1.865723 125.9597 12
KERMADEC1 2000-2004 cluster_1 182.624 -30.1823 2003 6 6 5. 1.7211914E-02 30.48560 6
KERMADEC1 2000-2004 cluster_2 183.315 -30.214 2003 11 7 5. 5.524414 161.5776 8
KERMADEC1 2000-2004 cluster_3 183.498 -28.3462 2000 1 10 5.8 1.396332 13.10571 5
KERMADEC1 2000-2004 cluster_4 183.521 -27.8056 2004 2 26 5.6 9.0942383E-02 0.9572754 7
KERMADEC1 2000-2004 cluster_5 183.586 -26.6419 2002 8 24 5.4 4.347107 38.78943 7
KERMADEC2 2000-2004 cluster_1 181.785 -32.3477 2004 3 4 6. 7.5683594E-03 2.956299 6
KERMADEC2 2000-2004 cluster_2 181.166 -31.8512 2003 8 10 4.9 15.39148 62.50342 5
KERMADEC2 2000-2004 cluster_3 181.583 -31.4269 2004 8 16 5.6 5.358521 90.52515 11
KERMADEC2 2000-2004 cluster_4 181.968 -31.323 2002 7 6 5.2 1.955261 43.11584 5
KERMADEC2 2000-2004 cluster_5 182.55 -30.7244 2003 12 5 5.9 12.50549 177.7046 11
KERMADEC2 2000-2004 cluster_6 182.294 -30.7045 2004 7 12 5.2 11.19189 97.31543 10
KERMADEC2 2000-2004 cluster_7 182.531 -30.5458 2003 9 20 6.4 0.3770752 10.07446 5
KERMADEC3 2000-2004 cluster_1 181.38 -33.324 2002 9 6 5.1 3.330933 16.48706 5
KERMADEC3 2000-2004 cluster_5 182.492 -30.6054 2003 9 20 5.3 0.1582031 11.78931 8
KERMADEC4 2000-2004 cluster_1 180.263 -36.6048 2001 8 21 5.2 0.3794556 5.857788 11
KERMADEC4 2000-2004 cluster_3 181.551 -32.8991 2004 11 1 5.2 1.2939453E-02 0.2419434 9
KERMADEC4 2000-2004 cluster_4 181.898 -32.7286 2004 3 6 5.6 0.1857910 4.835449 14
HIKURANGI 2000-2004 cluster_1 179.649 -36.864 2001 10 21 4.8 1.9042969E-02 9.9365234E-02 5
VANUATU1 2000-2004 cluster_1 169.215 -21.14 2003 12 15 4.9 6.852295 91.15308 8
VANUATU1 2000-2004 cluster_2 169.462 -21.0316 2004 6 17 5.4 19.40186 75.74609 5
VANUATU1 2000-2004 cluster_4 171.32 -22.3432 2002 7 16 5.3 14.86969 77.99243 5
VANUATU1 2000-2004 cluster_5 170.981 -22.8686 2003 6 23 5. 5.331665 114.9636 5
VANUATU1 2000-2004 cluster_6 172.026 -22.507 2003 3 15 6.4 32.87964 175.6882 5
VANUATU2 2000-2004 cluster_1 167.851 -19.2458 2003 6 24 5. 4.061035 550.4030 8
VANUATU2 2000-2004 cluster_3 169.321 -19.1078 2002 1 15 5.2 7.041382 31.31921 5
VANUATU2 2000-2004 cluster_4 169.37 -19.6872 2002 6 29 5.5 30.13489 124.6919 5
VANUATU2 2000-2004 cluster_8 170.644 -22.212 2001 6 19 5.4 20.28235 77.69299 5
VANUATU3 2000-2004 cluster_1 167.375 -17.3636 2003 10 29 5.4 1.358032 43.77246 11
VANUATU3 2000-2004 cluster_2 167.926 -17.7056 2004 3 19 6. 1.2207031E-02 39.53467 25
VANUATU4 2000-2004 cluster_1 166.599 -14.0187 2004 5 12 6.1 20.47119 161.5635 6
VANUATU4 2000-2004 cluster_2 166.684 -14.0538 2004 11 19 5.4 7.4707031E-02 0.6376953 6
VANUATU4 2000-2004 cluster_3 167.616 -14.3607 2002 2 14 6.2 4.6630859E-02 56.22803 8
VANUATU4 2000-2004 cluster_4 166.762 -14.6082 2000 11 15 5.8 1.9531250E-02 0.4389648 12
VANUATU4 2000-2004 cluster_5 167.631 -14.7923 2002 11 18 5.9 0.3398438 13.48669 12
VANUATU4 2000-2004 cluster_6 167.466 -15.0884 2003 5 28 5.2 3.134399 13.84363 5
VANUATU4 2000-2004 cluster_7 167.358 -15.1718 2002 8 13 4.8 2.471680 21.22986 6
VANUATU5 2000-2004 cluster_1 166.147 -11.9423 2004 5 13 5.9 1.7700195E-02 3.275635 13
